题号,题目,类型,难度,介绍,思路,第一轮完成情况,第二轮完成情况,题目链接
191,位1的个数,位运算,easy,编写一个函数，输入是一个无符号整数，返回其二进制表达式中数字位数为 ‘1’ 的个数（也被称为汉明重量）。,建一个mask用与运算一位一位取就行了,×,,https://leetcode-cn.com/problems/number-of-1-bits/
412,FizzBuzz,,easy,"写一个程序，输出从 1 到 n 数字的字符串表示。
1. 如果 n 是3的倍数，输出“Fizz”；
2. 如果 n 是5的倍数，输出“Buzz”；
3.如果 n 同时是3和5的倍数，输出 “FizzBuzz”。",遍历三次，第一次在3的倍数上写Fizz，第二次在5的倍数上写Buzz，最后一次在什么都没有的字符串上写原数字,√√,,https://leetcode-cn.com/problems/fizz-buzz/
326,3的幂,数学,easy,给定一个整数，写一个函数来判断它是否是 3 的幂次方。,"return n > 0 && 1162261467%n == 0;
那个数是int范围里最大的3的幂，只要某数能被其整除则一定是3的幂（等价条件）",×,,https://leetcode-cn.com/problems/power-of-three/
,,,,,,,,
5,最长回文子串,字符串、动态规划,medium,给定一个字符串 s，找到 s 中最长的回文子串,"1. 中心扩展算法。每次从一个字符向左右两边扩张（分奇偶情况），发现左右不相等就停，以获得最长结果，比DP要好。O(n^2), O(1)
2. 动态规划。先找到所有的一字母回文和二字母回文，再找三字母。。以此类推。O(n^2). O(1).",√√,,https://leetcode-cn.com/problems/longest-palindromic-substring/
146,LRU缓存机制,设计,medium,运用你所掌握的数据结构，设计和实现一个  LRU (最近最少使用) 缓存机制。它应该支持以下操作： 获取数据 get 和 写入数据 put 。,哈希链表(双链表），利用哈希表的查找时间O(1)和链表插入删除时间为O(1)的特点。在删除节点时一定要注意把哈希表中的节点也删掉。,×,,https://leetcode-cn.com/problems/lru-cache/
3,无重复字符的最长子串,哈希表、双指针,medium,给定一个字符串，请你找出其中不含有重复字符的 最长子串 的长度。,"1. 暴力法，纯暴力法O(n^3)必超时，如果用哈希表判断是否存在也要O(n^2)。
2. 滑动窗口",√,,https://leetcode-cn.com/problems/longest-substring-without-repeating-characters/
300,最长上升子序列,动态规划,medium,给定一个无序的整数数组，找到其中最长上升子序列的长度。,"1. 动态规划。公式：dp[i] = max(dp[j])+1，dp数组中存储从开始到当前数字i并且包括数字i能形成的LIS长度。
2. 动态规划+二分查找。没看",×,,https://leetcode-cn.com/problems/longest-increasing-subsequence
2,两数相加,链表、数学,medium,给出两个 非空 的链表用来表示两个非负的整数。其中，它们各自的位数是按照 逆序 的方式存储的，并且它们的每个节点只能存储 一位 数字。,关键在于处理逢9会进位的情况,√√,,https://leetcode-cn.com/problems/add-two-numbers/
322,零钱兑换,动态规划,medium,给定不同面额的硬币 coins 和一个总金额 amount。编写一个函数来计算可以凑成总金额所需的最少的硬币个数。如果没有任何一种硬币组合能组成总金额，返回 -1。,"直接动态规划即可，从1直到amount，dp[i] = min(dp[coins[0]] + 1, dp[coins[1]] + 1 ….)",√√ ,,https://leetcode-cn.com/problems/coin-change/solution/ling-qian-dui-huan-by-leetcode/
15,三数之和,数组、双指针,medium,"给定一个包含 n 个整数的数组 nums，判断 nums 中是否存在三个元素 a，b，c ，使得 a + b + c = 0 ？找出所有满足条件且不重复的三元组。
答案中不可以包含重复的三元组。",预排序。之后按顺序每次选一个数，然后再从剩余数里用双指针法选后两个数。本题关键在于如何去重。,×,,https://leetcode-cn.com/problems/3sum/
46,全排列,回溯算法,medium,"给定一个没有重复数字的序列，返回其所有可能的全排列。
",回溯算法,×,,https://leetcode-cn.com/problems/permutations/
179,最大数,排序,medium,给定一组非负整数，重新排列它们的顺序使之组成一个最大的整数。结果用字符串表示。,自定义比较函数来进行排序，当ab>ba时a应该放在b之前，反之a放在b之后,√√,,https://leetcode-cn.com/problems/largest-number/
54,螺旋矩阵,数组,medium,"给定一个包含 m x n 个元素的矩阵（m 行, n 列），请按照顺时针螺旋顺序，返回矩阵中的所有元素。",按层向内循环即可,√√,,https://leetcode-cn.com/problems/spiral-matrix/
378,有序矩阵中第k小的元素,堆、二分查找,medium,"给定一个 n x n 矩阵，其中每行和每列元素均按升序排序，找到矩阵中第k小的元素。
请注意，它是排序后的第k小元素，而不是第k个元素。","1. 直接暴力排序，但是相当于丢失了矩阵原有的顺序信息。O(nlogn)，空间O(n)
2. 二分查找（没懂）
3. n路归并，实现出来比暴力法还慢，其实也丢失了信息
4. 最小堆（没懂）",√,,https://leetcode-cn.com/problems/kth-smallest-element-in-a-sorted-matrix/submissions/
148,排序链表,排序、链表,medium,在 O(n log n) 时间复杂度和常数级空间复杂度下，对链表进行排序。,自底向上的归并排序，难点在于需要对链表反复断链和拼接。关键在于cut() 和 merge() 两个操作,√,,https://leetcode-cn.com/problems/sort-list/
11,盛水最多的容器,双指针,medium,"给定 n 个非负整数 a1，a2，...，an，每个数代表坐标中的一个点 (i, ai) 。在坐标内画 n 条垂直线，垂直线 i 的两个端点分别为 (i, ai) 和 (i, 0)。找出其中的两条线，使得它们与 x 轴共同构成的容器可以容纳最多的水。","1. 暴力法。可以AC，时间很长。
2. 双指针法。其实就是一种贪心方法，从两侧出发，每次将较短的板向内移动一格。因为向内移动长板必然不会使容积增大，但移动短板可能会使容积增大。",√,,https://leetcode-cn.com/problems/container-with-most-water/
215,数组中第k个最大元素,堆、分治法,medium,在未排序的数组中找到第 k 个最大的元素。请注意，你需要找的是数组排序后的第 k 个最大的元素，而不是第 k 个不同的元素。,"1. 暴力法。O(nlogn)，O(1)
2. 使用最小堆，每当堆大小大于k，推出当前最小元素，O(nlogk)，空间O(1)
3. 快速选择算法（类似快排），时间平均O(n),空间O(1)",√,,https://leetcode-cn.com/problems/kth-largest-element-in-an-array/
200,岛屿数量,BFS、DFS、并查集,medium,给定一个由 '1'（陆地）和 '0'（水）组成的的二维网格，计算岛屿的数量。一个岛被水包围，并且它是通过水平方向或垂直方向上相邻的陆地连接而成的。你可以假设网格的四个边均被水包围。,"1. BFS
2. DFS
3. 并查集",√,,https://leetcode-cn.com/problems/number-of-islands/
91,解码方法,动态规划,medium,"题干略
输入: ""226""
输出: 3
解释: 它可以解码为 ""BZ"" (2 26), ""VF"" (22 6), 或者 ""BBF"" (2 2 6) 。","动态规划。比较容易，公式为dp[i] = dp[i-1]+dp[i-2]，如果s(i)和s(i-1,i)均为合法数字的情况下。需要注意的是当字符串以0开头或中间的某个0前的数大于2，则无法解码。",√√,,https://leetcode-cn.com/problems/decode-ways/
19,删除链表的倒数第N个节点,双指针,medium,"给定一个链表，删除链表的倒数第 n 个节点，并且返回链表的头结点。
进阶：只使用一趟扫描实现","一趟扫描，双指针，设置dummyhead, 一个指针先走n步，另一个后出发，当第一个指针到了null时，慢指针的next即为要删除的节点。(其实在n之前的每个节点依然被访问了两次，跟两趟遍历差不多，复杂度完全相同，感觉没什么意义）",√,,https://leetcode-cn.com/problems/remove-nth-node-from-end-of-list/
33,搜索旋转排序数组,二分查找,medium,"假设按照升序排序的数组在预先未知的某个点上进行了旋转。( 例如，数组 [0,1,2,4,5,6,7] 可能变为 [4,5,6,7,0,1,2] )。
搜索一个给定的目标值，如果数组中存在这个目标值，则返回它的索引，否则返回 -1 。","1. 二分查找直接搜索目标值，其实就是注意划分条件，确定好应该往左找还是往右找。
2. 二分查找寻找旋转轴，然后判断应该在哪个区域做二分查找，思路简单但实现比较麻烦",√√,,https://leetcode-cn.com/problems/search-in-rotated-sorted-array/
279,完全平方数,动态规划,medium,"给定正整数 n，找到若干个完全平方数（比如 1, 4, 9, 16, ...）使得它们的和等于 n。你需要让组成和的完全平方数的个数最少。","这里我只想出了O(n^2)的DP算法，超时。
实际上内层循环只需要考虑完全平方数就行了，所以应为O(nsqrt(n))",× ,,https://leetcode-cn.com/problems/perfect-squares/
56,合并区间,排序、数组,medium,"给出一个区间的集合，请合并所有重叠的区间。
输入: [[1,4],[4,5]]
输出: [[1,5]]
解释: 区间 [1,4] 和 [4,5] 可被视为重叠区间。",没什么说的，直接按区间的第一个数排序，再逐个把能合并的合并就行了。,√√,,https://leetcode-cn.com/problems/merge-intervals/
22,括号生成,字符串、回溯算法,medium,给出 n 代表生成括号的对数，请你写出一个函数，使其能够生成所有可能的并且有效的括号组合。,直接回溯算法，剪枝的判断条件为：如果右括号数量大于左括号则剪掉,√√,,https://leetcode-cn.com/problems/generate-parentheses/
240,搜索二维矩阵,二分查找、分治法,medium,"编写一个高效的算法来搜索 m x n 矩阵 matrix 中的一个目标值 target。该矩阵具有以下特性：
每行的元素从左到右升序排列。
每列的元素从上到下升序排列。","1. 暴力法 O(mn)。忽略了有序信息
2. 二分查找。O(nlgn)，分四块，递归搜索
3. 从角落开始迭代，一步一步挪动，非常巧妙的方法。O(m+n)
选左上角，往右走和往下走都增大，不能选
选右下角，往上走和往左走都减小，不能选
选左下角，往右走增大，往上走减小，可选
选右上角，往下走增大，往左走减小，可选",√ ,,https://leetcode-cn.com/problems/search-a-2d-matrix-ii/
94,二叉树的中序遍历,树、栈,medium,给定一个二叉树，返回它的中序 遍历。,"1. 递归，很简单，先左后中最后右。类似回溯算法
2. 迭代。用栈辅助，每次一直将左节点压入栈中，遍历完当前节点再去遍历右子节点，继续将右子节点的左节点不断压栈",√,,https://leetcode-cn.com/problems/binary-tree-inorder-traversal/
17,电话号码的字母组合,字符串、回溯算法,medium,给定一个仅包含数字 2-9 的字符串，返回所有它能表示的字母组合。(参照九宫格键盘）,就是标准的回溯算法、套模板即可,√√,,https://leetcode-cn.com/problems/letter-combinations-of-a-phone-number/
236,二叉树的最近公共祖先,树,medium,"给定一个二叉树, 找到该树中两个指定节点的最近公共祖先。",递归遍历，使用字典存储每个节点的父指针，并用一个字典存储每个节点的深度。然后双指针从两个节点向上搜即可,√√,,https://leetcode-cn.com/problems/lowest-common-ancestor-of-a-binary-tree/
78,子集,位运算、数组、回溯,medium,给定一组不含重复元素的整数数组 nums，返回该数组所有可能的子集（幂集）。,套模板直接回溯就行了。,√√,,https://leetcode-cn.com/problems/subsets/
227,基本计算器II,字符串,medium,实现一个基本的计算器来计算一个简单的字符串表达式的值。,"使用栈、一个存符号，一个存数字
中缀转后缀：
- 数字直接输出到后缀表达式
- 栈为空时，遇到运算符，直接入栈
- 遇到运算符，弹出所有优先级大于或等于该运算符的栈顶元素，并将该运算符入栈
- 合并两个栈，即生成了后缀表达式",√,,https://leetcode-cn.com/problems/basic-calculator-ii/
152,乘积最大子序列,数组、动态规划,medium,给定一个整数数组 nums ，找出一个序列中乘积最大的连续子序列（该序列至少包含一个数）。,要注意一个负负得正的问题，这里需要存两个dp数组，一个存 当前的最小乘积，一个存当前最大乘积，不断更新到最后即可,√,,https://leetcode-cn.com/problems/maximum-product-subarray/
8,字符串转整数,数学、字符串,medium,请你来实现一个 atoi 函数，使其能将字符串转换成整数。,难点在于处理空格、非字符符号、负号等情况。看着简单写起来麻烦，浪费时间,√√,,https://leetcode-cn.com/problems/string-to-integer-atoi/
55,跳跃游戏,贪心算法、数组,medium,"给定一个非负整数数组，你最初位于数组的第一个位置。
数组中的每个元素代表你在该位置可以跳跃的最大长度。
判断你是否能够到达最后一个位置。",就是简单的贪心算法，当遇到0的时候，看0前边的数够不够跳过这些0就行了,√√,,https://leetcode-cn.com/problems/jump-game/
105,从前序和中序遍历中构造二叉树,树、深度优先搜索、数组,medium,如题，树中没有重复元素。,递归实现，有点像分治法、从前序遍历拿到根节点，从中序遍历拿到左子树和右子树，一点一点向下递归即可,√√,,https://leetcode-cn.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/
138,复制带随机指针的链表,哈希表、链表,medium,"给定一个链表，每个节点包含一个额外增加的随机指针，该指针可以指向链表中的任何节点或空节点。
要求返回这个链表的深拷贝。 ",两个哈希表、一个是反向的， 存每个节点被哪些节点所指（存下标）。另一个存复制后的每个节点应该指向第几个节点。,√√,,https://leetcode-cn.com/problems/copy-list-with-random-pointer/
240,搜索二维矩阵,二分查找、分治法,medium,"编写一个高效的算法来搜索 m x n 矩阵 matrix 中的一个目标值 target。该矩阵具有以下特性：
每行的元素从左到右升序排列。
每列的元素从上到下升序排列。","1. 分治法，多路归并，实现起来有些慢，相当于还是丢失了信息。
2. 二分查找？
3. 从右上或左下开始找，不断往固定的方向走，直到找到为止，复杂度O(m+n)，非常巧妙'",√,,https://leetcode-cn.com/problems/search-a-2d-matrix-ii/
79,单词搜索,数组、回溯算法,medium,给定一个二维网格和一个单词，找出该单词是否存在于网格中。,直接套回溯算法模板,√√,,https://leetcode-cn.com/problems/word-search/
102,二叉树的层次遍历,树、广度优先搜索,medium,给定一个二叉树，返回其按层次遍历的节点值。 （即逐层地，从左到右访问所有节点）。,"1. 按层遍历，直接用数组存每一层的节点
2. 用队列实现一个BFS，同时要存每个节点的深度",√√,,https://leetcode-cn.com/problems/binary-tree-level-order-traversal/
48,旋转图像,数组,medium,"给定一个 n × n 的二维矩阵表示一个图像。
将图像顺时针旋转 90 度。 必须使用原地算法",一个很巧妙的办法是，先将矩阵转置，再reverse每一行即可。时间复杂度O(n^2),√,,https://leetcode-cn.com/problems/rotate-image/
103,二叉树的锯齿形层次遍历,栈、树、广度优先搜索,medium,给定一个二叉树，返回其节点值的锯齿形层次遍历。（即先从左往右，再从右往左进行下一层遍历，以此类推，层与层之间交替进行）。,正常按层次遍历，然后输出时一行正一行反就行了,√√,,https://leetcode-cn.com/problems/binary-tree-zigzag-level-order-traversal/
208,实现Trie 前缀树,设计、字典树,medium,"实现一个 Trie (前缀树)，包含 insert, search, 和 startsWith 这三个操作。","树中的每个节点，TrieNode，都要维护一个字典，<char, TrieNode*>， 来存储所有的子节点",√√ ,,https://leetcode-cn.com/problems/implement-trie-prefix-tree/
139,单词拆分,动态规划,medium,给定一个非空字符串 s 和一个包含非空单词列表的字典 wordDict，判定 s 是否可以被空格拆分为一个或多个在字典中出现的单词。,维护一个dp数组来存储到当前字符为止，能否是一个可拆分的单词，对于每个新来的字母，向前搜索所有dp为true的字符作为断点，看截止到当前字母能否返回一个可拆分的词。时间复杂度O(n^2),√√,,https://leetcode-cn.com/problems/word-break/
347,前k个高频元素,堆、哈希表,medium,给定一个非空的整数数组，返回其中出现频率前 k 高的元素。你的算法的时间复杂度必须优于 O(n log n),"先构建一个<数字, 出现次数>的哈希表。
构建一个优先队列，将哈希表做排序，然后取队列的前k个数字即可",√√,,https://leetcode-cn.com/problems/top-k-frequent-elements/
287,寻找重复数,数组、双指针、二分查找,medium,"给定一个包含 n + 1 个整数的数组 nums，其数字都在 1 到 n 之间（包括 1 和 n），可知至少存在一个重复的整数。假设只有一个重复的整数，找出这个重复的数。
要求：原地算法，O(1)空间，时间小于O(nlogn)",这个题的二分查找是要对范围n做二分查找，而不是对原数组。对于1~n范围的数，遍历整个数组，看小于该数的数的数量和大于该数的数的数量是否是理想的，如果不满足条件，则Pivot就是要找的数,√√,,https://leetcode-cn.com/problems/find-the-duplicate-number/
62,不同路径,动态规划,medium,"一个机器人位于一个 m x n 网格的左上角 （起始点在下图中标记为“Start” ）。
机器人每次只能向下或者向右移动一步。机器人试图达到网格的右下角（在下图中标记为“Finish”）。",从左上到右下做动态规划即可，dpMatrix中储存的数字为从起点到该点一共有多少种走法。,√√,,https://leetcode-cn.com/problems/unique-paths/
384,打乱数组,,medium,"打乱一个没有重复元素的数组。
垃圾题，直接拿python写了.","newList = copy.deepcopy(self.originalList)
random.shuffle(newList)",√√,,https://leetcode-cn.com/problems/shuffle-an-array/
